puesto,ubicacion,compañia,publicado,fecha_publicacion,jk,efccid,srcid,cmpid
Data Scientist (Madrid),'Madrid,ThetaRay, 30+,16/06/2022,36304732b0f94df6,'f0cb27eb1a6d3c3e,e03720c6713a28d9,cf22bc2acd0ef329
Data scientist,'Madrid,Discoperi, 30+,16/06/2022,133f3b72bd040c22,'de87c0a9158ddd0a,bed6ebe11133c5a5,bef94ffedaa5f982
Data Scientist,'Madrid,recognified, 30+,16/06/2022,ec816ada543ae324,'8cbad79d7dce5bc8,4a134846dfd1324c,d1cf916e0bb9f22e
Data Scientist,'Madrid,Boopos Innovation, 23,16/06/2022,a2671dc4c4f70adb,'d95b72f2df4c3693,c4ba03d8352bec59,2652d2325d3d834b
Data Scientist - AI,'Pozuelo de Alarc\u00F3n,Menhir Financial, 7,16/06/2022,f564ebbcf5a6d14b,'018f6be7a6bed86f,bb6546782ade7589,6dca32063813c84c
Data Scientist,'Madrid,Applus+ BKW, 29,16/06/2022,796c42c1ae506bc7,'26419c6f12d3eb83,3b81af0d674e2e1e,c3fc2aef807f32c7
Data Scientist junior,'Madrid,Page Personnel Espa\u00F1a, 23,16/06/2022,801ca8ee350e8588,'1caca90f6d54a6c6,d59d6a8228acee93,f6239d27101a0be2
Senior Data Scientist Python R,'Madrid,Client Server, 9,16/06/2022,0bc7e00f9d9f34a3,'c1ccc37bd04d4c1e,b395abf0e1c01888,892c145157842ceb
Global Data Scientist Junior - F\/M,'Madrid,Havas Group, 30+,16/06/2022,266d60a80e8e4a27,'370122f603e29a14,d336308b84a5085b,4eeffc5ad446de0c
Junior Data Scientist,'Madrid,Catenon, 30+,16/06/2022,5f1600b7c2bd0f0b,'b2e946eec110d4b6,6abe5c2302a152ef,954e55536232ffe0
Data Scientist,'Madrid,Accion Contra el Hambre, 30+,16/06/2022,3f4f1deed7d96cd1,'c7a4ae84838680a8,d7fa07347aa9bd19,d56cb2f06fff488a
Data Science Pyspark,'Madrid,COGNODATA, 30+,16/06/2022,dc7a1e958d0bbfc8,'592116c2b153f02f,ab57a63c8a6b16e3,a402caaa8a95f7a8
Google Data Scientist,'Madrid,Vass, 30+,16/06/2022,50b5c7fa518cbfff,'f225330784dec93d,6655ab0dcab26c9d,7f25d1d1d564f968
Remote | Data Scientist - Buyer Team,'Madrid,OLX Group, 15,16/06/2022,41a3a0281ce13985,'c563153dbad29fb0,fdcd4491a5e1ea96,d39b58008bdcc409
Analyst Data Scientist - Analysis &amp; Monitoring - Advanced Analytics &amp; Algorithmic Trading,'Madrid,BBVA, 29,16/06/2022,293e9f66c63e641d,'58a5f596976cae60,ff85f582010d5094,c938a854fbd13908
Consultor\/a Data Scientist,'Madrid,Ticjob Espa\u00F1a, 30+,16/06/2022,d6fe2bb10670900e,'85965b642e825efa,057cdda9cd8fd3cf,e1c78da3313d8fe0
Data Scientist,'Tres Cantos,BEONIT, 30+,16/06/2022,7fb8c6cf474b0715,'ab38842bd1643054,f77dae0778cd9782,3e52e67d3612ab20
Data Scientist or Senior Data Scientis,'Madrid,Spotify, 30+,16/06/2022,a5fe627abd8fb282,'7e5b5315bb60d926,c240297a1d430c67,fe404d18bb9eef1e
Data Scientist Responsible - SCF,'Boadilla del Monte,Santander, 30+,16/06/2022,220ea39c99d2801d,'9c69fb6cae5d5480,191207eae463570d,e57a47a3d1d90e39
Analytic Scientist,'Madrid,Takeda Pharmaceuticals, 2,16/06/2022,662b5c0e198b6390,'9339fe94142c9766,89bd97ed21fce30d,f2a7a872fcec45a6
Data Scientist,'Madrid,Santalucia Seguros, 30+,16/06/2022,1e58b26af3c91e78,'8b2036daf8bdd88a,57ed622050462164,6ca991b76bfd7a28
EXPERT DATA SCIENTIST,'Madrid,Universia, 8,16/06/2022,4d982e0ade7bc347,',4e15fdc16bfd585f,ce783271e420d14a
Senior Data Scientist Python R,'Madrid,Client Server, 9,16/06/2022,0bc7e00f9d9f34a3,'c1ccc37bd04d4c1e,b395abf0e1c01888,892c145157842ceb
Pricing Actuary Level 2,'Madrid,LIBERTY SEGUROS, 30+,16/06/2022,9c3460ce1dae4249,'922ddbc1f3b4a17b,b91bc16f42238663,0aacd2cb54d38942
